detector,category,family,severity,restorer,n,auroc_clean,auroc_degraded,auroc_method,gap_closed,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
padim,screw,defocus,4,identity,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.9081819380321806,0.9081819380321806,0.0
padim,screw,defocus,4,restormer_deblur,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.9081819380321806,0.9247547465240502,0.4705752226484559
padim,screw,defocus,4,wiener,16,0.6640625,0.6875,0.78125,-4.0,16,0.9434001299263388,0.9081819380321806,0.7586166163246011,-4.246820000216653
padim,screw,mixed,2,divide_lpres_off,16,0.6640625,0.6875,0.5,8.0,16,0.9434001299263388,0.9155645470144304,0.901284883500394,-0.513000340579443
padim,screw,mixed,2,divide_lpres_on,16,0.6640625,0.6875,0.7265625,-1.6666666666666667,16,0.9434001299263388,0.9155645470144304,0.9201822903939056,0.1658935397217647
padim,screw,mixed,2,identity,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.9155645470144304,0.9155645470144304,0.0
padim,screw,mixed,2,restormer_deblur,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.9155645470144304,0.9150550426438424,-0.0183040668557315
padim,screw,mixed,2,wiener,16,0.6640625,0.6875,0.71875,-1.3333333333333333,16,0.9434001299263388,0.9155645470144304,0.8825833634142649,-1.1848569402890243
padim,screw,mixed,3,divide_lpres_off,16,0.6640625,0.6875,0.53125,6.666666666666667,16,0.9434001299263388,0.8945991974562428,0.8194021640492355,-1.5408933723364011
padim,screw,mixed,3,divide_lpres_on,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.8945991974562428,0.8808624411895213,-0.2814855284812245
padim,screw,mixed,3,identity,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.8945991974562428,0.8945991974562428,0.0
padim,screw,mixed,3,restormer_deblur,16,0.6640625,0.6875,0.671875,0.6666666666666666,16,0.9434001299263388,0.8945991974562428,0.8932100777883394,-0.0284650230557513
padim,screw,mixed,3,wiener,16,0.6640625,0.6875,0.578125,4.666666666666667,16,0.9434001299263388,0.8945991974562428,0.8130011791333478,-1.6720585897184674
padim,screw,mixed,4,divide_lpres_off,16,0.6640625,0.765625,0.640625,1.2307692307692308,16,0.9434001299263388,0.8507509729782967,0.7980429880105573,-0.5688987002579867
padim,screw,mixed,4,divide_lpres_on,16,0.6640625,0.765625,0.875,-1.0769230769230769,16,0.9434001299263388,0.8507509729782967,0.8690052591341801,0.1970259283214034
padim,screw,mixed,4,identity,16,0.6640625,0.765625,0.765625,-0.0,16,0.9434001299263388,0.8507509729782967,0.8507509729782967,0.0
padim,screw,mixed,4,restormer_deblur,16,0.6640625,0.765625,0.78125,-0.15384615384615385,16,0.9434001299263388,0.8507509729782967,0.8496083702721405,-0.012332575317409
padim,screw,mixed,4,wiener,16,0.6640625,0.765625,0.84375,-0.7692307692307693,16,0.9434001299263388,0.8507509729782967,0.7953069867313101,-0.5984294738707631
padim,screw,motion,2,divide_lpres_off,16,0.6640625,0.6875,0.671875,0.6666666666666666,16,0.9434001299263388,0.9190859418333264,0.9099394181692954,-0.3761805094639252
padim,screw,motion,2,divide_lpres_on,16,0.6640625,0.6875,0.59375,4.0,16,0.9434001299263388,0.9190859418333264,0.8931761810682068,-1.0656231113292134
padim,screw,motion,2,identity,16,0.6640625,0.6875,0.6875,-0.0,16,0.9434001299263388,0.9190859418333264,0.9190859418333264,0.0
padim,screw,motion,2,restormer_deblur,16,0.6640625,0.6875,0.703125,-0.6666666666666666,16,0.9434001299263388,0.9190859418333264,0.9325282845381389,0.5528600277907495
padim,screw,motion,2,wiener,16,0.6640625,0.6875,0.6015625,3.6666666666666665,16,0.9434001299263388,0.9190859418333264,0.8681340237843398,-2.095563210010272
padim,screw,motion,3,divide_lpres_off,16,0.6640625,0.671875,0.71875,-6.0,16,0.9434001299263388,0.9173727185975734,0.9042515207202952,-0.5041299617367867
padim,screw,motion,3,divide_lpres_on,16,0.6640625,0.671875,0.65625,2.0,16,0.9434001299263388,0.9173727185975734,0.8954235365830768,-0.8433102215677641
padim,screw,motion,3,identity,16,0.6640625,0.671875,0.671875,-0.0,16,0.9434001299263388,0.9173727185975734,0.9173727185975734,0.0
padim,screw,motion,3,restormer_deblur,16,0.6640625,0.671875,0.640625,4.0,16,0.9434001299263388,0.9173727185975734,0.9311314210600284,0.5286235457173104
padim,screw,motion,3,wiener,16,0.6640625,0.671875,0.53125,18.0,16,0.9434001299263388,0.9173727185975734,0.7974941292616877,-4.605859100685737
padim,screw,motion,4,divide_lpres_off,16,0.6640625,0.640625,0.703125,2.6666666666666665,16,0.9434001299263388,0.921652618546228,0.906378923589029,-0.702319207482623
padim,screw,motion,4,divide_lpres_on,16,0.6640625,0.640625,0.71875,3.3333333333333335,16,0.9434001299263388,0.921652618546228,0.8958671588952843,-1.1856740387557845
padim,screw,motion,4,identity,16,0.6640625,0.640625,0.640625,0.0,16,0.9434001299263388,0.921652618546228,0.921652618546228,0.0
padim,screw,motion,4,restormer_deblur,16,0.6640625,0.640625,0.6875,2.0,16,0.9434001299263388,0.921652618546228,0.9291707271966404,0.3456997225571384
padim,screw,motion,4,wiener,16,0.6640625,0.640625,0.625,-0.6666666666666666,16,0.9434001299263388,0.921652618546228,0.7820954133507726,-6.417157474077067
padim,screw,noise,2,divide_lpres_off,16,0.6640625,0.65625,0.703125,6.0,16,0.9434001299263388,0.9302347304992016,0.9445074353843448,1.084107243698473
padim,screw,noise,2,divide_lpres_on,16,0.6640625,0.65625,0.640625,-2.0,16,0.9434001299263388,0.9302347304992016,0.9387218074324328,0.6446501665370673
padim,screw,noise,2,identity,16,0.6640625,0.65625,0.65625,0.0,16,0.9434001299263388,0.9302347304992016,0.9302347304992016,0.0
padim,screw,noise,2,restormer_deblur,16,0.6640625,0.65625,0.65625,0.0,16,0.9434001299263388,0.9302347304992016,0.9302347304992016,0.0
padim,screw,noise,2,wiener,16,0.6640625,0.65625,0.640625,-2.0,16,0.9434001299263388,0.9302347304992016,0.9268600771036278,-0.2563274600402809
padim,screw,noise,3,divide_lpres_off,16,0.6640625,0.609375,0.65625,0.8571428571428571,16,0.9434001299263388,0.914215164865209,0.9390542334361964,0.8510912560272139
padim,screw,noise,3,divide_lpres_on,16,0.6640625,0.609375,0.640625,0.5714285714285714,16,0.9434001299263388,0.914215164865209,0.9316379901809384,0.5969794817035403
padim,screw,noise,3,identity,16,0.6640625,0.609375,0.609375,0.0,16,0.9434001299263388,0.914215164865209,0.914215164865209,0.0
padim,screw,noise,3,restormer_deblur,16,0.6640625,0.609375,0.609375,0.0,16,0.9434001299263388,0.914215164865209,0.914215164865209,0.0
padim,screw,noise,3,wiener,16,0.6640625,0.609375,0.609375,0.0,16,0.9434001299263388,0.914215164865209,0.9174396963456964,0.1104860490233037
padim,screw,noise,4,divide_lpres_off,16,0.6640625,0.578125,0.5625,-0.18181818181818182,16,0.9434001299263388,0.8949004643441867,0.9404545643484312,0.9392662703432788
padim,screw,noise,4,divide_lpres_on,16,0.6640625,0.578125,0.578125,0.0,16,0.9434001299263388,0.8949004643441867,0.9206391970667196,0.530699179336292
