restorer,detector,category,family,severity,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
divide_lpres_on,patchcore,carpet,defocus,3,16,0.9839746633164695,0.535229104528036,0.9107925752179075,0.8369185239489698
divide_lpres_off,patchcore,carpet,defocus,3,16,0.9839746633164695,0.535229104528036,0.9142414502070483,0.8446041153082524
identity,patchcore,carpet,defocus,4,16,0.9839746633164695,0.5048914564812401,0.5048914564812401,0.0
wiener,patchcore,carpet,defocus,4,16,0.9839746633164695,0.5048914564812401,0.6019517562910839,0.2025959132464971
restormer_deblur,patchcore,carpet,defocus,4,16,0.9839746633164695,0.5048914564812401,0.5180392667882895,0.027443688527306866
divide_lpres_on,patchcore,carpet,defocus,4,16,0.9839746633164695,0.5048914564812401,0.7890196816571589,0.5930665511171604
divide_lpres_off,patchcore,carpet,defocus,4,16,0.9839746633164695,0.5048914564812401,0.7587829033098775,0.5299527163680317
identity,patchcore,carpet,motion,2,16,0.9839746633164695,0.5159596135097829,0.5159596135097829,0.0
wiener,patchcore,carpet,motion,2,16,0.9839746633164695,0.5159596135097829,0.8146862785897905,0.6382843141548471
restormer_deblur,patchcore,carpet,motion,2,16,0.9839746633164695,0.5159596135097829,0.5790364771860732,0.1347752891757309
divide_lpres_on,patchcore,carpet,motion,2,16,0.9839746633164695,0.5159596135097829,0.9084325138273536,0.8385903412287306
divide_lpres_off,patchcore,carpet,motion,2,16,0.9839746633164695,0.5159596135097829,0.9214371027005052,0.8663770307348119
identity,patchcore,carpet,motion,3,16,0.9839746633164695,0.5044382667786369,0.5044382667786369,0.0
wiener,patchcore,carpet,motion,3,16,0.9839746633164695,0.5044382667786369,0.8380696108028667,0.6957372713166063
restormer_deblur,patchcore,carpet,motion,3,16,0.9839746633164695,0.5044382667786369,0.573679282618558,0.14439157557138302
divide_lpres_on,patchcore,carpet,motion,3,16,0.9839746633164695,0.5044382667786369,0.9543417407503934,0.9382050605959826
divide_lpres_off,patchcore,carpet,motion,3,16,0.9839746633164695,0.5044382667786369,0.9596215866477933,0.9492153737557751
identity,patchcore,carpet,motion,4,16,0.9839746633164695,0.5022365080744022,0.5022365080744022,0.0
wiener,patchcore,carpet,motion,4,16,0.9839746633164695,0.5022365080744022,0.5316547457021786,0.061066862376707755
restormer_deblur,patchcore,carpet,motion,4,16,0.9839746633164695,0.5022365080744022,0.5097071400303091,0.015507660903780845
divide_lpres_on,patchcore,carpet,motion,4,16,0.9839746633164695,0.5022365080744022,0.6228781165841369,0.250429838693416
divide_lpres_off,patchcore,carpet,motion,4,16,0.9839746633164695,0.5022365080744022,0.6252652052625991,0.2553849967029838
identity,patchcore,carpet,noise,2,16,0.9839746633164695,0.9787044862808467,0.9787044862808467,0.0
wiener,patchcore,carpet,noise,2,16,0.9839746633164695,0.9787044862808467,0.9459357407884976,-6.217769397660569
restormer_deblur,patchcore,carpet,noise,2,16,0.9839746633164695,0.9787044862808467,0.978713216648259,0.0016565605582741832
divide_lpres_on,patchcore,carpet,noise,2,16,0.9839746633164695,0.9787044862808467,0.9503948069091904,-5.371675217037691
divide_lpres_off,patchcore,carpet,noise,2,16,0.9839746633164695,0.9787044862808467,0.9470104092898858,-6.013854331027299
identity,patchcore,carpet,noise,3,16,0.9839746633164695,0.9660165638664466,0.9660165638664466,0.0
