run_name : train_pcim_cpu
device   : cpu
smoke    : False
[train_pcim_cpu] loss scale factors (calibrated at step 1): {'rec': 0.2663, 'deg': 0.1527, 'freq': 0.0028, 'pres': 0.5373}
[train_pcim_cpu] step 13900/15000  total=0.2035  rel_drr=0.803
[train_pcim_cpu] step 13950/15000  total=0.1803  rel_drr=0.803
[train_pcim_cpu] step 14000/15000  total=0.3604  rel_drr=0.803
[train_pcim_cpu] step 14050/15000  total=0.3855  rel_drr=0.803
[train_pcim_cpu] step 14100/15000  total=0.5843  rel_drr=0.803
[train_pcim_cpu] step 14150/15000  total=0.2159  rel_drr=0.803
[train_pcim_cpu] step 14200/15000  total=0.3746  rel_drr=0.803
[train_pcim_cpu] step 14250/15000  total=0.2718  rel_drr=0.845
[train_pcim_cpu] step 14300/15000  total=0.2718  rel_drr=0.845
[train_pcim_cpu] step 14350/15000  total=0.2994  rel_drr=0.845
[train_pcim_cpu] step 14400/15000  total=0.1478  rel_drr=0.845
[train_pcim_cpu] step 14450/15000  total=0.1346  rel_drr=0.845
[train_pcim_cpu] step 14500/15000  total=0.2604  rel_drr=0.845
[train_pcim_cpu] step 14550/15000  total=0.1706  rel_drr=0.845
[train_pcim_cpu] step 14600/15000  total=0.3567  rel_drr=0.845
[train_pcim_cpu] step 14650/15000  total=0.2267  rel_drr=0.935
[train_pcim_cpu] step 14700/15000  total=0.2550  rel_drr=0.935
[train_pcim_cpu] step 14750/15000  total=0.1465  rel_drr=0.935
[train_pcim_cpu] step 14800/15000  total=0.3415  rel_drr=0.935
[train_pcim_cpu] step 14850/15000  total=0.2176  rel_drr=0.935
[train_pcim_cpu] step 14900/15000  total=0.2069  rel_drr=0.935
[train_pcim_cpu] step 14950/15000  total=0.1931  rel_drr=0.935
[train_pcim_cpu] step 15000/15000  total=0.1777  rel_drr=0.934

final eval: {'relative_drr': 0.9343274347962359, 'dremr': -8.154397267362425, 'psnr_normal': 12.88008243996893, 'n': 24, 'relative_drr_texture': 0.8654537767925078, 'relative_drr_scratch': 0.9127529989813322, 'relative_drr_blob': 1.0023710226881606}
